"id","name","ofClientsYears","accountId","annualActualBudget","budgetRangeCalc","ediApproach","fullTimeStaffCount","fullTimeStaffRange","headOfOrgRaceEthnicity","organizationType","payorType","programCohort","programEngagement","serviceLevelOne","serviceLevelTwo","sponsor","surveyFrequency","createdDate","createdBy","lastModifiedDate","lastModifiedBy","systemModstamp"
a0u4T000005uFAQQA2,App-20220610-197,,"0014T00000GHWUxQAP",2000000,$1M-$5M,0.0,5.0,"5-9",Another race or ethnicity (please describe below):,"501(c)3 public charity",self-pay,a054T00000B0srqQAB,a064T000001f7uWQAQ,Community and economic development,Financial services,,Regularly,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-03-01 18:01:10","0051C000008XsOpQAK","2023-03-01 18:01:10"
a0u4T000005uFAqQAM,App-20220610-223,,"0014T00000Jr6CqQAJ",548843,<$1M,0.0,2.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ueQAA,Community and economic development,Community improvement,The Boston Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:31:22","0051C000008XsOpQAK","2023-02-10 19:31:22"
a0u4T000005uFARQA2,App-20220610-198,,"0014T00000IXJVsQAP",28000000,>$25M,0.0,72.0,"61-100",White,"501(c)3 public charity",self-pay,a054T00000B0srqQAB,a064T000001f7uXQAQ,Human services,Human services management,,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-04-03 23:02:15","0054T000001k34NQAQ","2023-04-03 23:02:15"
a0u4T000005uFArQAM,App-20220610-224,,"0014T00000Jr6LsQAJ",700000,<$1M,0.0,2.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ufQAA,Education,Elementary and secondary education,The Boston Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:31:22","0051C000008XsOpQAK","2023-02-10 19:31:22"
a0u4T000005uFASQA2,App-20220610-199,,"0014T00000Jr6CiQAJ",4275471,$1M-$5M,0.0,23.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srgQAB,a064T000001f7u7QAA,Human services,Basic and emergency aid,Assisi Foundation of Memphis,Regularly,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAsQAM,App-20220610-225,,"0014T00000Jr6LtQAJ",1388231,$1M-$5M,0.0,10.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ugQAA,Community and economic development,Business and industry,Charles Schwab Bank,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFATQA2,App-20220610-200,,"0014T00000Jr6ClQAJ",7444192,>$5M-$10M,0.0,42.0,"41-60",White,"501(c)3 public charity",self-pay,a054T00000B0srqQAB,a064T000001f7uYQAQ,"Public safety, law, and justice",Legal services,,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAtQAM,App-20220610-226,,"0014T00000Jr6LuQAJ",1354560,$1M-$5M,0.0,10.0,"10-20",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7uhQAA,Human services,Family services,The Boston Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:31:22","0051C000008XsOpQAK","2023-02-10 19:31:22"
a0u4T000005uFAUQA2,App-20220610-201,,"0014T00000Jr6CrQAJ",4750000,$1M-$5M,0.0,80.0,"61-100",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srgQAB,a064T000001f7u8QAA,Human services,Youth development,Scattergood Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:31:22","0051C000008XsOpQAK","2023-02-10 19:31:22"
a0u4T000005uFAuQAM,App-20220610-227,,"0014T00000Jr6LwQAJ",31700000,>$25M,0.0,170.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7uiQAA,Community and economic development,Rural development (Economic development),Charles Schwab Bank,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAVQA2,App-20220610-202,,"0014T00000Jr6LpQAJ",2142000,$1M-$5M,0.0,16.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7uZQAQ,Education,Education services,Sobrato Philanthropies,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAvQAM,App-20220610-228,,"0014T00000Jr6LzQAJ",4300000,$1M-$5M,0.0,30.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ujQAA,Human services,Basic and emergency aid,Episcopal Health Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAWQA2,App-20220610-203,,"0014T00000Jr6LrQAJ",44000000,>$25M,0.0,400.0,>100,White,"501(c)3 public charity",self-pay,a054T00000B0srgQAB,a064T000001f7u9QAA,Health,Mental health care,,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-28 18:21:01","0054T000001k34NQAQ","2023-03-28 18:21:01"
a0u4T000005uFAwQAM,App-20220610-229,,"0014T00000Jr6M0QAJ",19000000,>$10M-$25M,0.0,120.0,>100,White,"501(c)3 public charity",self-pay,a054T00000B0srqQAB,a064T000001f7ukQAA,Human services,Targeted population support,,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-27 17:59:18","0054T000001k34NQAQ","2023-02-27 17:59:18"
a0u4T000005uFAXQA2,App-20220610-204,,"0014T00000Jr6LxQAJ",2668637,$1M-$5M,0.0,24.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7uaQAA,Health,Health care quality,Episcopal Health Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAxQAM,App-20220610-230,,"0014T00000MLEpCQAX",33000000,>$25M,0.0,380.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B0srbQAB,a064T000001f7viQAA,Health,Mental health care,The Arthur M. Blank Family Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:50:52","0051C000008XsOpQAK","2023-02-10 17:50:52"
a0u4T000005uFAYQA2,App-20220610-205,,"0014T00000Jr6M1QAJ",709347,<$1M,0.0,4.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ubQAA,Human rights,Antidiscrimination,The Boston Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:31:22","0051C000008XsOpQAK","2023-02-10 19:31:22"
a0u4T000005uFAyQAM,App-20220610-231,,"0014T00000NgQFQQA3",2695000,$1M-$5M,0.0,21.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srbQAB,a064T000001f7vjQAA,Human services,Youth development,Michigan Health Endowment Fund,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:50:52","0051C000008XsOpQAK","2023-02-10 17:50:52"
a0u4T000005uFAZQA2,App-20220610-206,,"0011C00001r7NJ1QAM",465000,<$1M,0.0,127.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ucQAA,Human services,Shelter and residential care,Tipping Point Community,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uFAzQAM,App-20220610-232,,"0014T000005SVZJQA4",11589000,>$10M-$25M,0.0,77.0,"61-100",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wAQAQ,Community and economic development,Housing development,Ewing Marion Kauffman Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFB0QAM,App-20220610-233,,"0014T00000Ndh0mQAB",3000000,$1M-$5M,0.0,18.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srbQAB,a064T000001f7vkQAA,Human services,Family services,The Heinz Endowments,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:50:52","0051C000008XsOpQAK","2023-02-10 17:50:52"
a0u4T000005uFB1QAM,App-20220610-234,,"0014T000009a1FdQAI",4233900,$1M-$5M,,37.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7spQAA,Human services,Targeted population support,,,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:50"
a0u4T000005uFB2QAM,App-20220610-235,,"0014T000005SQaCQAW",50000000,>$25M,0.0,700.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wBQAQ,Health,Mental health care,Ewing Marion Kauffman Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFB3QAM,App-20220610-236,,"0014T00000BHmJPQA1",7757784,>$5M-$10M,0.0,26.0,"21-40",,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wCQAQ,Arts and culture,Performing arts,The Boston Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-09 23:40:59","0051C000008XsOpQAK","2023-02-09 23:40:59"
a0u4T000005uFB4QAM,App-20220610-237,,"0014T00000BHmJVQA1",1916268,$1M-$5M,0.0,7.0,"5-9",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wDQAQ,Community and economic development,Community improvement,Younger Family Fund,I'm not sure,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFB5QAM,App-20220610-238,,"0014T00000BHmJbQAL",1300000,$1M-$5M,0.0,5.0,"5-9",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wEQAQ,Human services,Basic and emergency aid,The Boston Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFB6QAM,App-20220610-239,,"0014T00000NgQFPQA3",7630924,>$5M-$10M,0.0,41.0,"41-60",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srbQAB,a064T000001fHeHQAU,Community and economic development,Financial services,The Boston Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:51:54","0051C000008XsOpQAK","2023-02-10 19:51:54"
a0u4T000005uFB7QAM,App-20220610-240,,"0014T00000Q4XdSQAV",3664000,$1M-$5M,0.0,24.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wGQAQ,Human services,Shelter and residential care,Ewing Marion Kauffman Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFB8QAM,App-20220610-241,,"0014T00000SqY0CQAV",6500000,>$5M-$10M,0.0,64.0,"61-100",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wHQAQ,Human services,Youth development,David and Lucile Packard Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFB9QAM,App-20220610-242,,"0014T00000GGDuGQAX",111412258,>$25M,0.0,1140.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B0srXQAR,a064T000001f7tzQAA,Human services,Shelter and residential care,The Boston Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uFBAQA2,App-20220610-243,,"0014T00000NgQFOQA3",170000,<$1M,0.0,1.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srbQAB,a064T000001f7vlQAA,Community and economic development,Business and industry,Charles Schwab Bank,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:51:54","0051C000008XsOpQAK","2023-02-10 19:51:54"
a0u4T000005uFBaQAM,App-20220610-269,,"0014T00000RCAr5QAH",1800000,$1M-$5M,0.0,5.0,"5-9",White,Not 501(c)3 public charity or government agency,funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wcQAA,Arts and culture,Performing arts,Barr Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:29","0051C000008XsOpQAK","2023-02-10 19:16:29"
a0u4T000005uFBBQA2,App-20220610-244,,"0011500001nVjNNAA0",16000000,>$10M-$25M,0.0,200.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B0srWQAR,a064T000001f7uyQAA,Human services,Shelter and residential care,Robin Hood,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:46:17","0051C000008XsOpQAK","2023-02-10 19:46:17"
a0u4T000005uFBbQAM,App-20220610-270,,"0014T00000RCBw9QAH",8000000,>$5M-$10M,0.0,45.0,"41-60",White,Not 501(c)3 public charity or government agency,funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wdQAA,Arts and culture,Performing arts,Barr Foundation,I'm not sure,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:29","0051C000008XsOpQAK","2023-02-10 19:16:29"
a0u4T000005uFBCQA2,App-20220610-245,,"0014T000009a1F1QAI",2202238,$1M-$5M,,19.0,"10-20",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sqQAA,Health,Reproductive health care,The Rieschel Foundation,,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:50"
a0u4T000005uFBcQAM,App-20220610-271,,"0014T00000RCC2XQAX",750000,<$1M,0.0,3.0,<5,White,Not 501(c)3 public charity or government agency,funder-sponsored,a054T00000B1ERgQAN,a064T000001f7weQAA,Environment,Environmental justice,Barr Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 17:56:10","0051C000008XsOpQAK","2023-03-01 17:56:10"
a0u4T000005uFBDQA2,App-20220610-246,,"0014T00000GGDuOQAX",13000000,>$10M-$25M,0.0,44.0,"41-60",White,"501(c)3 public charity",self-pay,a054T00000B0srXQAR,a064T000001f7u0QAA,Education,Equal opportunity in education,,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uFBdQAM,App-20220610-272,,"0014T00000RCC8AQAX",454000,<$1M,0.0,3.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wfQAA,Community and economic development,Urban development (Economic development),Barr Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBEQA2,App-20220610-247,,"0014T00000NdgzyQAB",120000,<$1M,0.0,3.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B0srbQAB,a064T000001f7vmQAA,Community and economic development,Community improvement,The Heinz Endowments,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 17:50:52","0051C000008XsOpQAK","2023-02-10 17:50:52"
a0u4T000005uFBeQAM,App-20220610-273,,"0014T00000RCC8tQAH",6000000,>$5M-$10M,0.0,32.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wgQAA,Community and economic development,Sustainable development,Barr Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 20:14:20","0051C000008XsOpQAK","2023-03-01 20:14:20"
a0u4T000005uFBFQA2,App-20220610-248,,"0014T00000IXJVhQAP",20000000,>$10M-$25M,0.0,185.0,>100,Not sure,"501(c)3 public charity",funder-sponsored,a054T00000B0srqQAB,a064T000001f7ulQAA,Community and economic development,Financial services,Blue Meridian Partners,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-09 21:30:36","0051C000008XsOpQAK","2023-02-09 21:30:36"
a0u4T000005uFBfQAM,App-20220610-274,,"0014T00000RCC95QAH",3295811,$1M-$5M,0.0,13.0,"10-20",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7whQAA,Community and economic development,Community improvement,Michigan Health Endowment Fund,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBGQA2,App-20220610-249,,"0014T000009YxRAQA0",2500000,$1M-$5M,0.0,10.0,"10-20",White,Not 501(c)3 public charity or government agency,funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wIQAQ,Community and economic development,Business and industry,Barr Foundation,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 18:00:55","0051C000008XsOpQAK","2023-03-01 18:00:55"
a0u4T000005uFBgQAM,App-20220610-275,,"0014T00000RCCA1QAP",1600000,$1M-$5M,0.0,25.0,"21-40",White,Not 501(c)3 public charity or government agency,funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wiQAA,Human services,Targeted population support,Michigan Health Endowment Fund,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:29","0051C000008XsOpQAK","2023-02-10 19:16:29"
a0u4T000005uFBHQA2,App-20220610-250,,"0014T00000EI89nQAD",1700000,$1M-$5M,0.0,12.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wJQAQ,Environment,Biodiversity,David and Lucile Packard Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 17:56:27","0051C000008XsOpQAK","2023-03-01 17:56:27"
a0u4T000005uFBhQAM,App-20220610-276,,"0014T00000RCFvBQAX",1900000,$1M-$5M,0.0,11.0,"10-20",,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wjQAA,Arts and culture,Performing arts,Virginia G. Piper Charitable Trust,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-01-21 00:36:16","0051C000008XsOpQAK","2023-01-21 00:36:16"
a0u4T000005uFBIQA2,App-20220610-251,,"0014T00000JqJ0xQAF",26000000,>$25M,0.0,300.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wKQAQ,Human services,Shelter and residential care,Tipping Point Community,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFBiQAM,App-20220610-277,,"0014T00000RCjkXQAT",4500000,$1M-$5M,0.0,20.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wkQAA,Community and economic development,Housing development,Tipping Point Community,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 17:55:28","0051C000008XsOpQAK","2023-03-01 17:55:28"
a0u4T000005uFBJQA2,App-20220610-252,,"0014T00000NdYP0QAN",10705075,>$10M-$25M,0.0,51.0,"41-60",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wLQAQ,Community and economic development,Financial services,Charles Schwab Bank,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBjQAM,App-20220610-278,,"0014T00000SqRomQAF",11000000,>$10M-$25M,0.0,30.0,"21-40",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wlQAA,Community and economic development,Community improvement,Tipping Point Community,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 18:00:27","0051C000008XsOpQAK","2023-03-01 18:00:27"
a0u4T000005uFBKQA2,App-20220610-253,,"0014T00000NfO6aQAF",2700000,$1M-$5M,0.0,14.0,"10-20",White,Government agency,funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wMQAQ,Health,Health care access,Michigan Health Endowment Fund,This will be our first time,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFBkQAM,App-20220610-279,,"0014T00000SqVPoQAN",400000,<$1M,0.0,0.0,,,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wmQAA,Arts and culture,Performing arts,David and Lucile Packard Foundation,This will be our first time,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-01-21 00:36:02","0051C000008XsOpQAK","2023-01-21 00:36:02"
a0u4T000005uFBLQA2,App-20220610-254,,"0014T00000PEDGsQAP",160021,<$1M,0.0,2.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wNQAQ,Community and economic development,Urban development (Economic development),The Boston Foundation,This will be our first time,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBlQAM,App-20220610-280,,"0014T00000SqZI8QAN",2000000,$1M-$5M,0.0,10.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wnQAA,Environment,Climate change,Barr Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 17:55:06","0051C000008XsOpQAK","2023-03-01 17:55:06"
a0u4T000005uFBMQA2,App-20220610-255,,"0014T00000PEDGxQAP",5200000,>$5M-$10M,0.0,31.0,"21-40",,"501(c)3 public charity",self-pay,a054T00000B1ERgQAN,a064T000001f7wOQAQ,Human services,Human services management,,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-01-30 19:27:19","0051C000008XsOpQAK","2023-01-30 19:27:19"
a0u4T000005uFBmQAM,App-20220610-281,,"0014T00000SqbsLQAR",3435012,$1M-$5M,0.0,21.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7woQAA,"Public safety, law, and justice",Legal services,Younger Family Fund,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:29","0051C000008XsOpQAK","2023-02-10 19:16:29"
a0u4T000005uFBNQA2,App-20220610-256,,"0014T00000Q6Gh5QAF",63000000,>$25M,0.0,300.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wPQAQ,Human services,Shelter and residential care,Tipping Point Community,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBnQAM,App-20220610-282,,"0014T00000SqjBQQAZ",1000000,$1M-$5M,0.0,4.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wpQAA,Education,Elementary and secondary education,David and Lucile Packard Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:29","0051C000008XsOpQAK","2023-02-10 19:16:29"
a0u4T000005uFBOQA2,App-20220610-257,,"0014T00000Q7IEnQAN",700000,<$1M,0.0,6.0,"5-9",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wQQAQ,Education,Elementary and secondary education,The Nelson Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFBoQAM,App-20220610-283,,"0014T00000SqozRQAR",60000,<$1M,0.0,0.0,,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wqQAA,Community and economic development,Community improvement,The Boston Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBPQA2,App-20220610-258,,"0014T00000R9RGsQAN",775000,<$1M,0.0,3.0,<5,White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wRQAQ,Sports and recreation,Sports,The Nelson Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:10","0051C000008XsOpQAK","2023-02-10 19:16:10"
a0u4T000005uFBpQAM,App-20220610-284,,"0014T00000Sr1DzQAJ",9678834,>$5M-$10M,0.0,34.0,"21-40",White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wrQAA,Environment,Climate change,Barr Foundation,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 17:57:05","0051C000008XsOpQAK","2023-03-01 17:57:05"
a0u4T000005uFBQQA2,App-20220610-259,,"0014T00000R9RIjQAN",14976413,>$10M-$25M,0.0,200.0,>100,White,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wSQAQ,Health,Health care access,Urban Child Institute,Sometimes,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 19:16:29","0051C000008XsOpQAK","2023-02-10 19:16:29"
a0u4T000005uFBqQAM,App-20220610-285,,"0014T00000Sr4BTQAZ",117000,<$1M,0.0,1.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wsQAA,Community and economic development,Community improvement,The Boston Foundation,This will be our first time,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
a0u4T000005uFBRQA2,App-20220610-260,,"0014T00000R9ZJOQA3",478750,<$1M,0.0,1.0,<5,Another race or ethnicity (please describe below):,Not 501(c)3 public charity or government agency,self-pay,a054T00000B1ERgQAN,a064T000001f7wTQAQ,Community and economic development,Employment (Economic development),,Regularly,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-03-01 18:01:41","0051C000008XsOpQAK","2023-03-01 18:01:41"
a0u4T000005uFBrQAM,App-20220610-286,,"0014T00000SrHlFQAV",814861,<$1M,0.0,5.0,"5-9",Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1ERgQAN,a064T000001f7wtQAA,Education,Education services,The Boston Foundation,Occasionally,"2022-06-10 23:49:16","00515000006O7O1AAK","2023-02-10 20:01:52","0051C000008XsOpQAK","2023-02-10 20:01:52"
